index,id,titleId,title,ISSN,lcnumber,coden,publisher,serialTypes,contentTypes,country,countryCode,status,startYear,deweyNumbers,keyFeatures,otherFeatures,languages,subject,rss,openAccessUrl
193,181300,123713,Oral History Forum,1482-5872,,,Canadian Oral History Association,Journal,Academic / Scholarly,Canada,CAN,Active,1976,971.006,AI|CCC|RPR|URL,BRI|REVI,English|French,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
194,6019,16151,British Columbia History,1710-7881,,,British Columbia Historical Federation,Journal,Academic / Scholarly,Canada,CAN,Active,1937,971,AI|CCC|RPR,BRI|ITA|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
196,86812,61548,South Dakota History,0361-8676,F646,,South Dakota State Historical Society,Journal,Academic / Scholarly,United States,USA,Active,1970,978,AI|RPR|TOC|URL,BIA|BRI|ILI|ITA|MAP|REVI|RPSA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
201,585016,652925,West Virginia History,1940-5057,,,West Virginia University Press,Journal,Academic / Scholarly,United States,USA,Active,,975.4,AI|AVO|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
205,765447,815055,Modern American History,2397-1851,,,Cambridge University Press,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2017,973,AI|AVO|CCC|RPR,,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
207,803575,851571,Ohio Valley History,2377-0600,,,Cincinnati Museum Center,Journal,Academic / Scholarly,United States,USA,Active,,977,AI|AVO|RPR,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
208,189358,129141,East Texas Historical Journal,0424-1444,F381,,East Texas Historical Association,Journal,Academic / Scholarly,United States,USA,Active,1963,976,AI|RPR|URL,BIA|BRI|REVI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
210,788460,836769,Gephyra,1309-3924,DR431,,"Akdeniz Universitesi * Akdeniz Dillerini ve Kulturlerini Arastirma Merkezi|Akdeniz University, Research Centre for Mediterranean Languages and Cultures",Journal,Academic / Scholarly,Turkey,TUR,Active,2004,956.9,AI|OPA|RPR|URL,,English|French|German|Italian,HISTORY - HISTORY OF THE NEAR EAST,,
214,111394,77489,Reviews in American History,1080-6628,Z1236,,The Johns Hopkins University Press,Journal,Academic / Scholarly,United States,USA,Active,,970,AI|AVO|CCC|RPR,BIA|FSI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
217,540600,617697,New York History (Online),2328-8132,,,Cornell University Press,Journal,Academic / Scholarly,United States,USA,Active,19??,974.7,AI|AVO|RPR|URL,BIA,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
218,461062,443851,American Nineteenth Century History,1743-7903,,,Routledge,Journal,Academic / Scholarly,United Kingdom,GBR,Active,,973,AI|AVO|CCC|RPR,BIA|FSI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
219,163446,111438,Annual Editions: United States History,1944-8384,E171,,McGraw-Hill * Contemporary Learning Series,Journal,Academic / Scholarly,United States,USA,Active,1972,917.3,AI|CCC|RPR|URL,BIA|ILI,English,HISTORY - HISTORY OF NORTH AND SOUTH AMERICA,,
221,681394,739572,Global Journal of African Studies,2045-2594,,,Oxford Academic Publishing Ltd.,Journal,Academic / Scholarly,United Kingdom,GBR,Active,2011,960,RPR|URL,,English,HISTORY - HISTORY OF AFRICA,,
225,716496,771366,International Journal of Ethiopian Studies,2328-9899,,,Tsehai Publishers,Journal,Academic / Scholarly,United States,USA,Active,,963,AVO|RPR,BIA,Amharic|English,HISTORY - HISTORY OF AFRICA,,
228,831814,878688,The Australasian Review of African Studies,1447-8420,,,The African Studies Association of Australasia and the Pacific,Journal,Academic / Scholarly,Australia,AUS,Active,2001,960,JCR|RPR|URL,,English,HISTORY - HISTORY OF AFRICA,,
229,784836,833293,Dotawo,2373-2571,DT159.6.N83,,University of California * eScholarship,Journal,Academic / Scholarly,United States,USA,Active,2014,932,AVO|EON|OPA|RPR|URL,,English,HISTORY - HISTORY OF AFRICA,,https://escholarship.org/uc/dotawo
